,node0,node1,weight
861,bad,boastful,2
862,bad,tough,0
863,bad,spoiled,1
864,bad,magnanimous,2
865,bad,wild,2
866,bad,gloomy,2
867,bad,poorly,2
868,bad,heavy,2
869,bad,large,2
870,bad,rowdy,2
871,bad,blue,2
872,bad,badly,0
873,bad,questioning,2
874,bad,big,1
875,bad,adult,1
876,bad,grim,2
877,bad,dark,2
878,bad,pitiful,2
879,bad,wondering,2
880,bad,hard,2
881,bad,elusive,2
882,bad,handsome,2
883,pain,smart,2
884,pain,distracted,2
885,pain,pained,1
886,pain,offended,2
887,pain,worry,2
888,pain,disturbed,2
889,pain,bothered,2
890,pain,troubled,1
891,pain,annoyance,1
892,pain,injured,2
893,pain,worrisome,2
894,pain,unwell,2
895,pain,inconvenienced,2
896,pain,irritation,2
897,pain,vexed,2
898,pain,sickly,2
899,pain,perturbed,2
900,pain,annoying,2
901,pain,trouble,1
902,pain,disturb,2
903,pain,worries,2
904,pain,poorly,2
905,pain,distress,2
906,pain,tortured,2
907,pain,aching,2
908,pain,irritating,2
909,pain,bother,1
910,pain,hurting,1
911,pain,wounded,2
912,pain,ache,2
913,powerful,strong,2
914,powerful,healthy,2
915,powerful,better,2
916,powerful,right,1
917,powerful,tidy,2
918,powerful,respectable,2
919,powerful,compensated,2
920,powerful,stronger,2
921,powerful,stiff,2
922,powerful,healthier,2
923,prepared,ready,1
924,prepared,secure,2
925,prepared,put,2
926,prepared,dictated,2
927,prepared,gear,2
928,prepared,uprise,2
929,prepared,found,2
930,prepared,fit,2
931,prepared,clear,2
932,prepared,rise,2
933,prepared,mess,2
934,aggravated,provoked,0
935,aggravated,aggravate,0
936,awkward,uneasy,1
937,awkward,restless,2
938,awkward,clumsy,0
939,awkward,incompetent,2
940,awkward,inept,0
941,awkward,embarrass,2
942,awkward,queasy,2
943,awkward,sticky,0
944,awkward,glutinous,2
945,disgust,nauseous,2
946,disgust,driven,2
947,disgust,disgusting,1
948,disgust,repulsed,2
949,disgust,revolted,1
950,disgust,yucky,2
951,disgust,queasy,2
952,disgust,loathsome,2
953,disgust,nauseated,1
954,disgust,distasteful,2
955,disgust,offensive,2
956,disgust,freaked,2
957,fun,acting,2
958,fun,flirting,2
959,fun,represented,2
960,smart,pained,2
961,smart,refreshed,2
962,smart,offended,2
963,smart,wise,1
964,smart,clean,2
965,smart,injured,2
966,smart,invigorated,2
967,smart,fresh,1
968,smart,sassy,1
969,smart,trendy,2
970,smart,yearning,2
971,smart,sweet,2
972,smart,distress,2
973,smart,aching,1
974,smart,wiser,1
975,smart,achy,2
976,smart,reinvigorated,2
977,smart,hurting,1
978,smart,smarter,1
979,smart,wounded,2
980,smart,knowing,2
981,smart,ache,0
982,justified,free,1
983,justified,destitute,2
984,justified,detached,2
985,justified,loose,2
986,justified,barren,2
987,defeated,frustration,1
988,defeated,down,2
989,defeated,thwarted,1
990,defeated,defeat,0
991,great,expectant,1
992,great,giving,2
993,great,clean,2
994,great,boastful,2
995,great,tough,2
996,great,bullied,2
997,great,magnanimous,2
998,great,heavy,1
999,great,large,1
1000,great,well,2
1001,great,overweight,2
1002,great,rowdy,2
1003,great,orderly,2
1004,great,neat,1
1005,great,big,1
1006,great,adult,1
1007,great,grievous,2
1008,great,outstanding,0
1009,great,punishing,2
1010,great,hard,2
1011,great,bullying,2
1012,great,anticipative,2
1013,great,grave,2
1014,great,swollen,2
1015,great,handsome,2
1016,great,sullen,2
1017,frustration,defeat,0
1018,pride,soaked,2
1019,pride,dressed,2
1020,pride,complimenting,2
1021,betrayed,mislead,2
1022,betrayed,discover,2
1023,rushed,hurried,2
1024,rushed,stimulated,2
1025,rushed,excite,2
1026,rushed,rushing,2
1027,rushed,thrill,2
1028,confuse,lost,2
1029,confuse,giving,2
1030,confuse,pissed,2
1031,confuse,disheartened,2
1032,confuse,isolated,2
1033,confuse,drunk,2
1034,confuse,disoriented,2
1035,confuse,bewildered,2
1036,confuse,disjointed,2
1037,confuse,broken,2
1038,confuse,unknown,2
1039,confuse,soaked,2
1040,confuse,discombobulated,1
1041,confuse,jumbled,0
1042,confuse,dark,2
1043,confuse,baffled,2
1044,confuse,loaded,2
1045,confuse,hidden,2
1046,confuse,besotted,2
1047,confuse,tricked,2
1048,confuse,wet,2
1049,confuse,dishearten,2
1050,confuse,stiff,2
1051,confuse,tormenting,2
1052,confuse,vague,2
1053,amazed,worry,2
1054,amazed,dead,2
1055,amazed,out,2
1056,amazed,astonished,1
1057,amazed,stunned,1
